Company,Journeys,Times_per_day,Times_start,Times_end,Total_time,Payment
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH HƯNG THÀNH'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Lai Châu'>,<Selector xpath='//td[3]/b[2]/text()' data='2 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='15:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='23:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='8 giờ 30 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='280 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH THỦY CHÍNH'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Phú Thọ'>,<Selector xpath='//td[3]/b[2]/text()' data='9 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='21:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='5:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='1 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='54 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH THÚY HỘ'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Đắk Lắk'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='22:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='6:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='25 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='700 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH THƯỞNG NGA'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Bắc Kạn'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='20:50'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='5:50'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='4 giờ 30 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='95 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH TRƯỜNG AN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Phú Thọ'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='19:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='4:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='3 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='60 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH NGỌC PHƯƠNG'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Lạng Sơn'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='20:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='5:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='4 giờ 30 phút'>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='120 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data=' XE KHÁCH TRƯỜNG SƠN - PHÚ THỌ'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Phú Thọ'>,<Selector xpath='//td[3]/b[2]/text()' data='2 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='21:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='6:00'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='2 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='50 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH NHẬT TUẤN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Quảng Trị'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='10:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='13:30'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='13 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='250 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH NHẬT TUẤN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Thừa Thiên Huế'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='17:00'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='20:30'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='15 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='280 000'>"
"<Selector xpath="".//a[@class = 'cls_diachiben']/text()"" data='XE KHÁCH DÒNG HIỀN'>",<Selector xpath='.//td[2]/b/font/text()' data='Hà Nội – Quảng Bình'>,<Selector xpath='//td[3]/b[2]/text()' data='1 chuyến/ngày'>,"<Selector xpath="".//td[5]/ul/li[2]/select[@name = 'tgxuatphat']/option/text()"" data='6:15'>","<Selector xpath="".//td[6]/ul/li[2]/select[@name = 'tgvedich']/option/text()"" data='10:45'>","<Selector xpath="".//td[6]/ul/li[3]/a[@class = 'tongtg']/b/text()"" data='11 giờ '>","<Selector xpath="".//td[7]/ul/li[1][@class = 'giave']/text()"" data='250 000'>"
